Number,Latitude,Longitude,Name,Type
182,56.679442,-5.00078,Meall Dearg East Top,MOUTAIN
183,56.678051,-4.957485,A'Chailleach,MOUTAIN
184,56.679714,-5.015895,Aonach Eagach West Top,MOUTAIN
185,56.696584,-4.991428,Garbh Bheinn,MOUTAIN
186,56.668905,-4.863529,Beinn a'Chrulaiste,MOUTAIN
187,56.688824,-5.062895,Sgorr na Ciche [Pap of Glencoe],MOUTAIN
188,56.676925,-4.672662,Stob na Cruaiche,MOUTAIN
189,56.622896,-4.644678,Leathad Mor,MOUTAIN
190,56.587861,-4.726247,Glas Bheinn,MOUTAIN
191,56.642768,-5.029335,Bidean nam Bian,MOUTAIN
192,56.648848,-5.021795,Stob Coire nan Lochan,MOUTAIN
193,56.646082,-5.036829,Stob Coire nam Beith,MOUTAIN
194,56.638322,-5.010285,Stob Coire Sgreamhach,MOUTAIN
195,56.653921,-5.17151,Beinn a'Bheithir - Sgorr Dhearg,MOUTAIN
196,56.646229,-4.900336,Buachaille Etive Mor - Stob Dearg,MOUTAIN
197,56.636789,-4.924217,Stob na Doire,MOUTAIN
198,56.650499,-5.197757,Beinn a'Bheithir - Sgorr Dhonuill,MOUTAIN
199,56.619813,-5.080078,Sgor na h-Ulaidh,MOUTAIN
200,56.624796,-5.069053,Stob an Fhuarain,MOUTAIN
201,56.600979,-5.104733,Beinn Fhionnlaidh,MOUTAIN
202,56.63815,-4.970746,Buachaille Etive Beag - Stob Dubh,MOUTAIN
203,56.62988,-4.951151,Buachaille Etive Mor - Stob na Broige,MOUTAIN
204,56.64202,-5.002732,Beinn Fhada [Stob Coire Sgreamhach East Top],MOUTAIN
205,56.656002,-5.16217,Sgorr Bhan,MOUTAIN
206,56.634371,-4.941031,Stob Coire Altruim,MOUTAIN
207,56.566232,-5.170365,Beinn Sgulaird,MOUTAIN
208,56.644559,-4.995446,Beinn Fhada NE Top [Beinn Fhada],MOUTAIN
209,56.649947,-4.951703,Buachaille Etive Beag - Stob Coire Raineach,MOUTAIN
210,56.568032,-5.166739,Beinn Sgulaird North Top,MOUTAIN
211,752585,56.627844,Beinn Maol Chaluim,MOUTAIN
212,56.615678,-5.213625,Fraochaidh,MOUTAIN
213,56.547978,-5.114433,Beinn Trilleachan,MOUTAIN
214,56.530492,-5.215023,Creach Bheinn,MOUTAIN
215,56.628471,-5.107497,Meall Lighiche,MOUTAIN
216,56.517752,-5.238596,Mam Hael [Beinn Bhreac],MOUTAIN
217,56.482376,-5.217221,Beinn Mheadhonach,MOUTAIN
218,56.510851,-5.220171,Beinn Molurgainn,MOUTAIN
219,56.656421,-5.091487,Meall Mor,MOUTAIN
220,56.648992,-5.126173,Sgorr a'Choise,MOUTAIN
221,56.597129,-5.265886,Meall Ban,MOUTAIN
222,56.543422,-5.150379,Beinn Mheadhonach,MOUTAIN
223,56.463336,-5.213774,Beinn Duirinnis,MOUTAIN
224,56.582778,-5.135769,An Grianan,MOUTAIN
225,56.563951,-5.272195,Beinn Churalain,MOUTAIN
226,56.576881,-5.320889,Beinn Donn,MOUTAIN
227,56.608857,-5.314879,Beinn Sgluich,MOUTAIN
228,737215,56.483365,Na Maoilean,MOUTAIN
229,56.485676,-5.38083,Beinn Lora,MOUTAIN
230,56.660324,-5.272779,Ardsheal Hill,MOUTAIN
231,745822,56.558392,Airds Hill,MOUTAIN
232,56.426839,-5.131828,Ben Cruachan,MOUTAIN
233,56.612218,-4.852078,Meall a'Bhuiridh,MOUTAIN
234,56.42899,-5.143783,Stob Dearg [Taynuilt Peak],MOUTAIN
235,56.614449,-4.871979,Creise,MOUTAIN
